indicator,IC_trending,n_trending,ICIR_trending,IC_ranging,n_ranging,ICIR_ranging,IC_high_vol,n_high_vol,ICIR_high_vol,IC_low_vol,n_low_vol,ICIR_low_vol
LinRegSlope_20,0.020326735120697076,98477,0.6906545275298532,-0.007681744966025294,78123,0.29304426612835016,0.010874583337712313,97145,0.5228737205474739,0.01661667472805504,97200,0.5967595624131117
RSI_14,0.020308808591155716,98477,1.0344053891036837,0.006375518278450298,78123,0.5465356077514113,0.018853616026423232,97145,0.9979236086156859,0.021197894353262862,97200,1.0718345997842442
CoppockCurve,-0.02003515221371474,98477,-0.6779418461826483,0.008015409452838781,78123,-0.28409317328265427,-0.010364411440736949,97145,-0.5125199276463555,-0.016782930181552996,97200,-0.6036961477703274
Supertrend,-0.019746516494912707,98477,-0.6256116976978254,0.004384443464083961,78123,-0.20307813453074036,-0.014067388740190905,97145,-0.4226161713569571,-0.007194959764232101,97200,-0.43042502837204305
SqueezeMom,0.019587691140785145,98477,0.6328331827401117,-0.002417770088201608,78123,0.3029328275010895,0.01213074291954024,97145,0.48546856516679654,0.01433906229663655,97200,0.5390648975996561
TSI,0.019050243869228642,98477,1.0192399252377502,0.0033708711500953182,78123,0.7000255880617874,0.01998164174917173,97145,0.8212920130404056,0.014127041109245002,97200,0.9292711558913807
Chandelier_22,0.018741195377886287,98477,0.8215575242306778,-0.004450012298172945,78123,0.3609971526943554,0.004686457896484196,97145,0.8461145994848868,0.019527669180861722,97200,0.8387663261802574
ElderRay_13,0.01852905684914319,98477,0.7099424064202763,-0.0041215484539193605,78123,0.2387589656787491,0.010763624209563697,97145,0.7356859126526913,0.014396359715346668,97200,0.8923872111630701
RSI_7,0.01835404592234632,98477,0.8851739133377073,0.0011539538571045164,78123,0.33123519966040615,0.010236324810497504,97145,0.9213260989532885,0.020698136982923873,97200,0.9750020703798413
SessionHLPct,0.01819537135797395,93676,0.7717043455949052,-0.004101914806080545,75765,0.3642055025865957,0.004591323546303767,93348,0.8653014612902585,0.017386842721425055,93192,0.8360012167726125
OpeningRange,0.017208835937418936,84114,0.7994113622501439,-0.010624743552446771,70942,0.4326607138633485,0.0024264786276102773,85256,0.9028801948175185,0.013694828019182792,85674,0.8166233672248269
ROC_10,0.017076321297010623,98477,0.7511977714213802,-0.00014902752067479837,78123,0.21630570729497023,0.004507848977374784,97145,0.7245867183095459,0.024667930267480705,97200,0.8347806506591233
MACD_hist,-0.0013382770227756717,98477,-0.5400983808505855,0.016985768282595442,78123,-0.08270196716728276,0.015510696650773646,97145,-0.5802605424194913,-0.007463469015417076,97200,-0.6247966165217631
MFI_14,0.01623595584666776,98433,0.6691948244176995,-0.008800042949854217,78123,0.21366079454546444,-0.0013987260449403128,97122,0.6250497530225733,0.01710664458298251,97179,0.5937659210831586
